img,caption
Dataset/SSID_Images//39.jpg,a man climbing on a rock
Dataset/SSID_Images//40.jpg,"a man climbing on a rock with the words, the best climbing gear for men"
Dataset/SSID_Images//41.jpg,a group of men standing next to each other men
Dataset/SSID_Images//42.jpg,a man and woman in a car
Dataset/SSID_Images//43.jpg,a man is standing in the back of a truck
Dataset/SSID_Images//44.jpg,two men sitting in the back of a truck
Dataset/SSID_Images//45.jpg,a group of people are getting off a boat
Dataset/SSID_Images//46.jpg,a boat is traveling through the ocean
Dataset/SSID_Images//47.jpg,a surfer rides a wave in the ocean
Dataset/SSID_Images//48.jpg,a man in a boat looking out at the ocean
Dataset/SSID_Images//49.jpg,a man holding a surfboard
Dataset/SSID_Images//50.jpg,a surfer rides a wave in the ocean
Dataset/SSID_Images//51.jpg,a man and a little girl on a boat
Dataset/SSID_Images//52.jpg,a person in a scuba suit is diving
Dataset/SSID_Images//53.jpg,a diver swimming over a turtle in the ocean
Dataset/SSID_Images//54.jpg,a man holding a fish in his hand
Dataset/SSID_Images//55.jpg,a man holding a fish in the water
Dataset/SSID_Images//56.jpg,a woman is diving in the ocean
Dataset/SSID_Images//57.jpg,a person swimming in the ocean
Dataset/SSID_Images//58.jpg,a woman is standing on a coral reef
Dataset/SSID_Images//59.jpg,a scuba in the ocean with a camera
Dataset/SSID_Images//60.jpg,a man holding a fish
Dataset/SSID_Images//61.jpg,a woman riding a wave on top of a surfboard
Dataset/SSID_Images//62.jpg,a person is peeling a fish on a table
Dataset/SSID_Images//63.jpg,a bird is sitting on a grill
Dataset/SSID_Images//64.jpg,a person cutting meat on a wooden board
Dataset/SSID_Images//65.jpg,a group of people standing around a table
Dataset/SSID_Images//66.jpg,a man kneeling on the ground
Dataset/SSID_Images//67.jpg,a group of people playing a game of soccer
Dataset/SSID_Images//68.jpg,a man is throwing a frck
Dataset/SSID_Images//69.jpg,a man kneeling in the grass
Dataset/SSID_Images//70.jpg,a man standing on a wooden bridge
Dataset/SSID_Images//71.jpg,a bunch of bananas
Dataset/SSID_Images//72.jpg,a white horse
Dataset/SSID_Images//73.jpg,a man wearing a hat
Dataset/SSID_Images//74.jpg,two men are looking at a map
Dataset/SSID_Images//75.jpg,a large mountain range
Dataset/SSID_Images//76.jpg,a group of people walking through a forest
Dataset/SSID_Images//77.jpg,a bird flying in the air
Dataset/SSID_Images//78.jpg,two people walking through a forest
Dataset/SSID_Images//79.jpg,a view of the jungle from a hill
Dataset/SSID_Images//80.jpg,a man in a forest
Dataset/SSID_Images//81.jpg,a view of the amazon river from a helicopter
Dataset/SSID_Images//82.jpg,a group of people in a raft raft on a river
Dataset/SSID_Images//83.jpg,a man in a canoe is being pulled by another man
Dataset/SSID_Images//84.jpg,a man and a woman are in a canoe
Dataset/SSID_Images//85.jpg,a man holding a stick near a river
Dataset/SSID_Images//86.jpg,a man in a blue shirt and tie is talking to another man
Dataset/SSID_Images//87.jpg,a man sitting on a bench
Dataset/SSID_Images//88.jpg,a man in a blue shirt talking to another man
Dataset/SSID_Images//89.jpg,a man sitting on a bench
Dataset/SSID_Images//90.jpg,a man with a blue shirt and a green background
Dataset/SSID_Images//91.jpg,a rocky beach
Dataset/SSID_Images//92.jpg,a man standing on a rock near the ocean
Dataset/SSID_Images//93.jpg,a man walking on rocks with a camera
Dataset/SSID_Images//94.jpg,a man in a hat and a shirt is standing in front of a pile of rocks
Dataset/SSID_Images//95.jpg,a man standing on a rocky beach next to the ocean
Dataset/SSID_Images//96.jpg,a man on a boat in the water
Dataset/SSID_Images//97.jpg,a man is in the water with a paddle
Dataset/SSID_Images//98.jpg,a man in a boat in the ocean
Dataset/SSID_Images//99.jpg,a man is standing on a rock in the water
Dataset/SSID_Images//100.jpg,a man standing on a rocky beach next to a body of water
Dataset/SSID_Images//101.jpg,a man sitting on a tree
Dataset/SSID_Images//102.jpg,a man sitting on a rock
Dataset/SSID_Images//103.jpg,a rocky beach with a body of water
Dataset/SSID_Images//104.jpg,a beach with a tree and a body of water
Dataset/SSID_Images//105.jpg,a person is walking on a rocky beach
Dataset/SSID_Images//106.jpg,a rocky coastline with a small island in the distance
Dataset/SSID_Images//107.jpg,a man standing on a rocky beach next to the ocean
Dataset/SSID_Images//108.jpg,a man is kneeling on the rocks
Dataset/SSID_Images//109.jpg,a man sitting on a rock
Dataset/SSID_Images//110.jpg,a fire on the beach
Dataset/SSID_Images//111.jpg,a man sitting on a rocky beach next to a fire
Dataset/SSID_Images//112.jpg,a beach with rocks and water under a cloudy sky
Dataset/SSID_Images//113.jpg,a lightning strikes over the ocean in the distance
Dataset/SSID_Images//114.jpg,a man talking on a cell phone
Dataset/SSID_Images//115.jpg,a man sitting by a fire on the beach
Dataset/SSID_Images//116.jpg,a boat in the water
Dataset/SSID_Images//117.jpg,a man in a hat and plaid shirt standing on a boat
Dataset/SSID_Images//118.jpg,a boat is floating in the water near a shore
Dataset/SSID_Images//119.jpg,a man is fishing on a boat in the water
Dataset/SSID_Images//120.jpg,a view of a lake and a beach
Dataset/SSID_Images//121.jpg,a boat floating in the water
Dataset/SSID_Images//122.jpg,a boat is in the water with a man on it
Dataset/SSID_Images//123.jpg,a man is on a boat in the water
Dataset/SSID_Images//124.jpg,a view of the beach and water from a helicopter
Dataset/SSID_Images//125.jpg,a person in a kayak pad pada
Dataset/SSID_Images//126.jpg,a man in a boat with a camera
Dataset/SSID_Images//127.jpg,a man in a hat is standing inside a car
Dataset/SSID_Images//128.jpg,a man in a hat is standing in a truck
Dataset/SSID_Images//129.jpg,a man in a hat is sitting in a truck
Dataset/SSID_Images//130.jpg,a man in a hat and a black shirt
Dataset/SSID_Images//131.jpg,a man is sitting on a boat in the water
Dataset/SSID_Images//132.jpg,a man is sitting on the bow of a boat
Dataset/SSID_Images//133.jpg,a boat is traveling down the river at sunset
Dataset/SSID_Images//134.jpg,a man sitting on a boat in the water
Dataset/SSID_Images//135.jpg,a man in a boat
Dataset/SSID_Images//136.jpg,a boat traveling down the ocean near a mountain
Dataset/SSID_Images//137.jpg,a view of the ocean from a hill
Dataset/SSID_Images//138.jpg,a group of people on a boat in the water
Dataset/SSID_Images//139.jpg,a man standing on a rock near the ocean
Dataset/SSID_Images//140.jpg,a boat is in the water with people on it
Dataset/SSID_Images//141.jpg,a man walking through a forest filled with trees
Dataset/SSID_Images//142.jpg,a man in the jungle
Dataset/SSID_Images//143.jpg,a man is kneeling down to pick a plant
Dataset/SSID_Images//144.jpg,a small island in the middle of the ocean
Dataset/SSID_Images//145.jpg,a man is fishing in the ocean at sunset
Dataset/SSID_Images//146.jpg,a group of people standing on a cliff
Dataset/SSID_Images//147.jpg,a view of the ocean from a hill
Dataset/SSID_Images//148.jpg,a man is standing in the woods
Dataset/SSID_Images//149.jpg,a man in the woods
Dataset/SSID_Images//150.jpg,a man in the woods
Dataset/SSID_Images//151.jpg,a man standing in the woods
Dataset/SSID_Images//152.jpg,a man sitting on the ground
Dataset/SSID_Images//153.jpg,a man holding a bunch of bananas
Dataset/SSID_Images//154.jpg,a monkey in the jungle
Dataset/SSID_Images//155.jpg,a man sleeping under a tree
Dataset/SSID_Images//156.jpg,a man standing under a tree with a camera
Dataset/SSID_Images//157.jpg,a small animal in the middle of a forest
Dataset/SSID_Images//158.jpg,a man is digging a hole in the ground
Dataset/SSID_Images//159.jpg,a rocky cliff
Dataset/SSID_Images//160.jpg,a man standing on a rock
Dataset/SSID_Images//161.jpg,a man standing in front of a tent
Dataset/SSID_Images//162.jpg,a small white toilet
Dataset/SSID_Images//163.jpg,a large tree with lots of leaves on it
Dataset/SSID_Images//164.jpg,palm trees in the shade
Dataset/SSID_Images//165.jpg,a man sitting on the ground
Dataset/SSID_Images//166.jpg,a man in a hat is cutting a plant
Dataset/SSID_Images//167.jpg,a man is standing in the jungle
Dataset/SSID_Images//168.jpg,a man kneeling down in the woods
Dataset/SSID_Images//169.jpg,a forest with lots of trees and plants
Dataset/SSID_Images//170.jpg,a monkey is standing in the middle of a forest
Dataset/SSID_Images//171.jpg,a man is putting a tent on the back of a truck
Dataset/SSID_Images//172.jpg,a man is standing next to a truck
Dataset/SSID_Images//173.jpg,a man is putting a tent on the back of a blue truck
Dataset/SSID_Images//174.jpg,a camper with a table and chairs inside
Dataset/SSID_Images//175.jpg,a man is sitting in a camper with a laptop
Dataset/SSID_Images//176.jpg,a lake surrounded by trees and a forest
Dataset/SSID_Images//177.jpg,a lake with trees and water in the fore
Dataset/SSID_Images//178.jpg,a man pointing at the water in a lake
Dataset/SSID_Images//179.jpg,a person pointing at the water with their finger
Dataset/SSID_Images//180.jpg,a man in sunglasses is standing near a lake
Dataset/SSID_Images//181.jpg,a man standing in the water
Dataset/SSID_Images//182.jpg,a person is standing near a lake
Dataset/SSID_Images//183.jpg,a lake with a fishing rod
Dataset/SSID_Images//184.jpg,a man holding a white bowl with a fish in it
Dataset/SSID_Images//185.jpg,a person is putting herbs into a blender
Dataset/SSID_Images//186.jpg,a man is fishing on the water with a rod
Dataset/SSID_Images//187.jpg,a man fishing on a river with a rod
Dataset/SSID_Images//188.jpg,a person holding a fish in the water
Dataset/SSID_Images//189.jpg,a man holding a fish in his hand
Dataset/SSID_Images//190.jpg,a man is fishing on the water with a rod
Dataset/SSID_Images//191.jpg,a camper is parked in the woods by the water
Dataset/SSID_Images//192.jpg,a man and woman walking along a river
Dataset/SSID_Images//193.jpg,a man standing next to a lake
Dataset/SSID_Images//194.jpg,a man in a black shirt
Dataset/SSID_Images//195.jpg,a man wearing sunglasses
Dataset/SSID_Images//196.jpg,a man standing next to a boat with a beer
Dataset/SSID_Images//197.jpg,a person is cooking food on a stove
Dataset/SSID_Images//198.jpg,a person pouring liquid into a pot
Dataset/SSID_Images//199.jpg,a person is putting food in a container
Dataset/SSID_Images//200.jpg,a person is cooking food in a pot
Dataset/SSID_Images//201.jpg,a person is cooking food on a stove
Dataset/SSID_Images//202.jpg,a table with food and drinks on it
Dataset/SSID_Images//203.jpg,a person is pouring sauce on a chicken
Dataset/SSID_Images//204.jpg,a man sitting at a picnic table with a plate of food
Dataset/SSID_Images//205.jpg,a man sitting at a picnic table eating food
Dataset/SSID_Images//206.jpg,a small boat is sitting on the bank of a river
Dataset/SSID_Images//207.jpg,a man is holding a kay with a paddle
Dataset/SSID_Images//208.jpg,a person in a kayak pad pad pad pad pad pad pad pad pad pad pad pad pad
Dataset/SSID_Images//209.jpg,a person in a kayak pad pada
Dataset/SSID_Images//210.jpg,a kayak is in the water near a forest
Dataset/SSID_Images//211.jpg,a man in a kayak holding a fish
Dataset/SSID_Images//212.jpg,a man in a kayak is fishing on the water
Dataset/SSID_Images//213.jpg,a man in a kay fishing on a lake
Dataset/SSID_Images//214.jpg,a man in a kay with a fish
Dataset/SSID_Images//215.jpg,a man holding a fish in his hand
Dataset/SSID_Images//216.jpg,a man is moving a suitcase in a room
Dataset/SSID_Images//217.jpg,a woman standing next to a car with the door open
Dataset/SSID_Images//218.jpg,a man loading luggage into a car
Dataset/SSID_Images//219.jpg,a man loading luggage into the trunk of a car
Dataset/SSID_Images//220.jpg,a car with a bunch of seats in it
Dataset/SSID_Images//221.jpg,a view of a highway with cars driving down it
Dataset/SSID_Images//222.jpg,a train on the tracks
Dataset/SSID_Images//223.jpg,a man loading luggage onto a car
Dataset/SSID_Images//224.jpg,a man is getting his luggage out of the car
Dataset/SSID_Images//225.jpg,a woman is standing in the middle of a busy street
Dataset/SSID_Images//226.jpg,a woman is standing in the middle of a parking lot
Dataset/SSID_Images//227.jpg,a woman is pulling her luggage in a parking
Dataset/SSID_Images//228.jpg,a man is standing in a parking lot
Dataset/SSID_Images//229.jpg,a woman and two children walking down the street
Dataset/SSID_Images//230.jpg,a woman and two young girls sitting on a train
Dataset/SSID_Images//231.jpg,a group of people walking through an airport
Dataset/SSID_Images//232.jpg,a person holding a passport in their hand
Dataset/SSID_Images//233.jpg,a group of people standing around an escalate
Dataset/SSID_Images//234.jpg,a group of people standing in a room
Dataset/SSID_Images//235.jpg,a group of people standing around a table
Dataset/SSID_Images//236.jpg,a plane on the tar
Dataset/SSID_Images//237.jpg,a woman sitting at a table with a child
Dataset/SSID_Images//238.jpg,a man is standing in front of a blue sign
Dataset/SSID_Images//239.jpg,a man and woman are posing for a photo
Dataset/SSID_Images//240.jpg,a little girl sitting on the floor
Dataset/SSID_Images//241.jpg,a woman is walking down a long hallway
Dataset/SSID_Images//242.jpg,a woman is sitting in an airplane with her legs crossed
Dataset/SSID_Images//243.jpg,a woman sitting in an airplane with a laptop
Dataset/SSID_Images//244.jpg,a man and a woman sitting in an airplane
Dataset/SSID_Images//245.jpg,a little girl is sitting on a plane
Dataset/SSID_Images//246.jpg,a woman sitting in an airplane reading a book
Dataset/SSID_Images//247.jpg,a view of the wing of an airplane
Dataset/SSID_Images//248.jpg,a person holding a tablet with a video screen
Dataset/SSID_Images//249.jpg,a woman sitting in an airplane with a cell
Dataset/SSID_Images//250.jpg,a group of people sitting in an airplane
Dataset/SSID_Images//251.jpg,a little girl drawing a picture of a girl
Dataset/SSID_Images//252.jpg,a woman wearing headphones
Dataset/SSID_Images//253.jpg,a plane flying over the ocean at sunset
Dataset/SSID_Images//254.jpg,a group of people sitting in an airplane
Dataset/SSID_Images//255.jpg,a man in a black shirt
Dataset/SSID_Images//256.jpg,a view of an airport with planes parked on the tar
Dataset/SSID_Images//257.jpg,a group of people standing around a counter
Dataset/SSID_Images//258.jpg,two women in white shirts and black backpacks
Dataset/SSID_Images//259.jpg,a group of people walking down a long hallway
Dataset/SSID_Images//260.jpg,a group of people sitting in an airplane
Dataset/SSID_Images//261.jpg,people are waiting in the airport
Dataset/SSID_Images//262.jpg,a man is getting his van to be loaded
Dataset/SSID_Images//263.jpg,a group of people standing around with luggage
Dataset/SSID_Images//264.jpg,a group of people walking through an airport
Dataset/SSID_Images//265.jpg,a man and woman playing a video game
Dataset/SSID_Images//266.jpg,a large building with a flag on top
Dataset/SSID_Images//267.jpg,people are walking down an escalator in a subway station
Dataset/SSID_Images//268.jpg,a large cruise ship docked in the water
Dataset/SSID_Images//269.jpg,a group of people walking down a long hallway
Dataset/SSID_Images//270.jpg,a woman wearing a white shirt
Dataset/SSID_Images//271.jpg,a man and woman posing for a picture
Dataset/SSID_Images//272.jpg,a large building with a lot of people inside
Dataset/SSID_Images//273.jpg,a man is pointing at a bed in a room
Dataset/SSID_Images//274.jpg,a woman and two children playing a video game
Dataset/SSID_Images//275.jpg,a woman in a white tank top
Dataset/SSID_Images//276.jpg,a man in a black shirt
Dataset/SSID_Images//277.jpg,a woman holding a remote control
Dataset/SSID_Images//278.jpg,a man in a black shirt
Dataset/SSID_Images//279.jpg,a woman in a white shirt
Dataset/SSID_Images//280.jpg,a man and woman talking in a room
Dataset/SSID_Images//281.jpg,a woman in a pink shirt
Dataset/SSID_Images//282.jpg,a group of people standing around a table
Dataset/SSID_Images//283.jpg,a chef preparing food in a restaurant
Dataset/SSID_Images//284.jpg,a counter with bowls of food on it
Dataset/SSID_Images//285.jpg,a man is eating a sandwich at a restaurant
Dataset/SSID_Images//286.jpg,a man and woman eating food at a restaurant
Dataset/SSID_Images//287.jpg,a couple of people sitting at a table
Dataset/SSID_Images//288.jpg,a group of people sitting at a table eating food
Dataset/SSID_Images//289.jpg,a large cruise ship
Dataset/SSID_Images//290.jpg,a woman walking down a walkway next to a building
Dataset/SSID_Images//291.jpg,a man and a girl on a tennis court
Dataset/SSID_Images//292.jpg,a woman and two boys on a cruise
Dataset/SSID_Images//293.jpg,people on a boat looking at the water
Dataset/SSID_Images//294.jpg,a large boat with people on it
Dataset/SSID_Images//295.jpg,a cruise ship with a view of the ocean
Dataset/SSID_Images//296.jpg,a cruise ship with a view of the ocean
Dataset/SSID_Images//297.jpg,a woman in a pink shirt
Dataset/SSID_Images//298.jpg,two women are sitting in a van and one is holding a cell
Dataset/SSID_Images//299.jpg,a boy sitting in a chair in a room
Dataset/SSID_Images//300.jpg,a woman and a boy playing a video game
Dataset/SSID_Images//301.jpg,a woman in a pink shirt
Dataset/SSID_Images//302.jpg,a group of people standing in a room
Dataset/SSID_Images//303.jpg,a woman in a pink shirt
Dataset/SSID_Images//304.jpg,the atrium on the disney cruise
Dataset/SSID_Images//305.jpg,people walking through a mall
Dataset/SSID_Images//306.jpg,people walking through a mall
Dataset/SSID_Images//307.jpg,a man and woman are standing in a mall
Dataset/SSID_Images//308.jpg,a man and woman are smiling in a mall
Dataset/SSID_Images//309.jpg,a man and woman are talking in a mall
Dataset/SSID_Images//310.jpg,people walking through a glass elevator
Dataset/SSID_Images//311.jpg,a group of people sitting at a table
Dataset/SSID_Images//312.jpg,a man in a restaurant with a large chandel
Dataset/SSID_Images//313.jpg,a group of people sitting at a table eating food
Dataset/SSID_Images//314.jpg,a woman and a child sitting at a table
Dataset/SSID_Images//315.jpg,a woman and two children sitting at a table
Dataset/SSID_Images//316.jpg,a group of people walking down a shopping mall
Dataset/SSID_Images//317.jpg,a group of people dancing in a dance hall
Dataset/SSID_Images//318.jpg,a man in a black shirt
Dataset/SSID_Images//319.jpg,a man and woman are standing in a restaurant
Dataset/SSID_Images//320.jpg,a man and a boy are in a kitchen
Dataset/SSID_Images//321.jpg,a woman is standing in a room with a cell
Dataset/SSID_Images//322.jpg,a woman in a dress
Dataset/SSID_Images//323.jpg,a boy holding a glass
Dataset/SSID_Images//324.jpg,a woman eating a piece of pizza in a restaurant
Dataset/SSID_Images//325.jpg,a woman dancing on a tiled floor
Dataset/SSID_Images//326.jpg,a large building with a neon sign on it
Dataset/SSID_Images//327.jpg,a group of people standing around a counter
Dataset/SSID_Images//328.jpg,a boy eating a sandwich
Dataset/SSID_Images//329.jpg,a little girl standing in a doorway looking out
Dataset/SSID_Images//330.jpg,a man and woman are standing in a hotel room
Dataset/SSID_Images//331.jpg,a woman is standing in a room with a large pot
Dataset/SSID_Images//332.jpg,a man and woman are standing in a room
Dataset/SSID_Images//333.jpg,a man and woman are standing in a hotel room
Dataset/SSID_Images//334.jpg,a woman in a black dress
Dataset/SSID_Images//335.jpg,a woman standing on a boat looking out at the ocean
Dataset/SSID_Images//336.jpg,a woman standing on a boat with her arms out
Dataset/SSID_Images//337.jpg,a woman and a child are eating food on a table
Dataset/SSID_Images//338.jpg,a woman in a bikini is getting her pussy fucked
Dataset/SSID_Images//339.jpg,a woman sitting on a chair
Dataset/SSID_Images//340.jpg,a woman in a pink dress sitting on a chair
Dataset/SSID_Images//341.jpg,a boy looking out at the ocean from a cruise ship
Dataset/SSID_Images//342.jpg,a woman and a boy in a hotel room
Dataset/SSID_Images//343.jpg,a woman in a black dress
Dataset/SSID_Images//344.jpg,a man in a green tank top
Dataset/SSID_Images//345.jpg,a couple of people sitting at a table
Dataset/SSID_Images//346.jpg,a woman kissing a little girl
Dataset/SSID_Images//347.jpg,a woman holding a little girl in her arms
Dataset/SSID_Images//348.jpg,a couple of people sitting at a table
Dataset/SSID_Images//349.jpg,a group of people on a boat looking at the ocean
Dataset/SSID_Images//350.jpg,a man and a boy on a cruise ship
Dataset/SSID_Images//351.jpg,a man and woman posing for a picture on a boat
Dataset/SSID_Images//352.jpg,a man in a swimsuit on a cruise ship
Dataset/SSID_Images//353.jpg,people are on the deck of a cruise ship
Dataset/SSID_Images//354.jpg,a person taking a picture of a cruise ship
Dataset/SSID_Images//355.jpg,a man in a hat is on a boat
Dataset/SSID_Images//356.jpg,a woman in a floral dress
Dataset/SSID_Images//357.jpg,a woman is smiling while on a boat
Dataset/SSID_Images//358.jpg,the pool on the carnival of the seas
Dataset/SSID_Images//359.jpg,a large cruise ship
Dataset/SSID_Images//360.jpg,a man and woman sitting on a deck of a cruise ship
Dataset/SSID_Images//361.jpg,a large cruise ship
Dataset/SSID_Images//362.jpg,a large boat with people on it
Dataset/SSID_Images//363.jpg,a group of people playing in a pool
Dataset/SSID_Images//364.jpg,a group of people playing in a pool
Dataset/SSID_Images//365.jpg,a little girl in a pool
Dataset/SSID_Images//366.jpg,a woman in a pool with a camera
Dataset/SSID_Images//367.jpg,people are playing in the water at a pool
Dataset/SSID_Images//368.jpg,a group of people playing in a pool
Dataset/SSID_Images//369.jpg,a man is standing in a pool with a ball
Dataset/SSID_Images//370.jpg,a man and woman standing in front of a pool
Dataset/SSID_Images//371.jpg,a large pool with a water slide
Dataset/SSID_Images//372.jpg,a man is taking a picture of a colorful playground
Dataset/SSID_Images//373.jpg,a group of people playing in a pool
Dataset/SSID_Images//374.jpg,a man is standing in a pool with a ball
Dataset/SSID_Images//375.jpg,a group of people are in a pool
Dataset/SSID_Images//376.jpg,people are sitting on the deck of a cruise ship
Dataset/SSID_Images//377.jpg,a man and woman are standing on a boat
Dataset/SSID_Images//378.jpg,a woman and a child in a pool
Dataset/SSID_Images//379.jpg,a large pool on a cruise
Dataset/SSID_Images//380.jpg,a boy is playing in a pool on a cruise ship
Dataset/SSID_Images//381.jpg,a man in a blue shirt is riding a wave
Dataset/SSID_Images//382.jpg,a man riding a wave on top of a water slide
Dataset/SSID_Images//383.jpg,a man riding a wave on a water slide
Dataset/SSID_Images//384.jpg,a group of people on a boat with a surfboard
Dataset/SSID_Images//385.jpg,a man riding a wave on top of a boat
Dataset/SSID_Images//386.jpg,a man riding a wave on a water slide
Dataset/SSID_Images//387.jpg,a man is riding a water slide in a pool
Dataset/SSID_Images//388.jpg,a man riding a water slide on top of a wave
Dataset/SSID_Images//389.jpg,two women in swimsuits sitting on a boat
Dataset/SSID_Images//390.jpg,a woman and a child sitting on a beach
Dataset/SSID_Images//391.jpg,a man and woman walking down a staircase
Dataset/SSID_Images//392.jpg,a man and woman standing next to each other people
Dataset/SSID_Images//393.jpg,a little girl in a dress is standing on a railing
Dataset/SSID_Images//394.jpg,a man and woman are standing in a room
Dataset/SSID_Images//395.jpg,a group of people standing on a balcony
Dataset/SSID_Images//396.jpg,a sunset over the ocean with clouds and water
Dataset/SSID_Images//397.jpg,a woman taking a photo of the ocean
Dataset/SSID_Images//398.jpg,two women sitting at a table eating food
Dataset/SSID_Images//399.jpg,a white plate with food on it
Dataset/SSID_Images//400.jpg,a group of people sitting at a table in a restaurant
Dataset/SSID_Images//401.jpg,a man in a white shirt and sunglasses on a beach
Dataset/SSID_Images//402.jpg,a woman in a gray shirt
Dataset/SSID_Images//403.jpg,a group of people standing on a beach
Dataset/SSID_Images//404.jpg,a group of people on a beach with umbrellas
Dataset/SSID_Images//405.jpg,a beach with white umbrellas and people on the sand
Dataset/SSID_Images//406.jpg,a group of people on a beach with umbrellas
Dataset/SSID_Images//407.jpg,a beach with umbrellas and chairs on it
Dataset/SSID_Images//408.jpg,a group of people sitting on a beach under an umbrella
Dataset/SSID_Images//409.jpg,a man and a boy on a beach
Dataset/SSID_Images//410.jpg,a person is taking a photo of a beach
Dataset/SSID_Images//411.jpg,a sandy beach
Dataset/SSID_Images//412.jpg,a man is swimming in the ocean with a dog
Dataset/SSID_Images//413.jpg,two children playing on the beach
Dataset/SSID_Images//414.jpg,a man in a bikini
Dataset/SSID_Images//415.jpg,a person holding a cell phone in the water
Dataset/SSID_Images//416.jpg,a man on the beach
Dataset/SSID_Images//417.jpg,a person in the water with a camera
Dataset/SSID_Images//418.jpg,a man in the water with a surfboard
Dataset/SSID_Images//419.jpg,a man and woman in the water
Dataset/SSID_Images//420.jpg,a woman in a bikini is in the water
Dataset/SSID_Images//421.jpg,a man in the water
Dataset/SSID_Images//422.jpg,a woman in the water
Dataset/SSID_Images//423.jpg,two women in the ocean playing with each other women
Dataset/SSID_Images//424.jpg,a woman taking a photo of a beach
Dataset/SSID_Images//425.jpg,a man holding a child in the ocean
Dataset/SSID_Images//426.jpg,a large screen tv
Dataset/SSID_Images//427.jpg,a woman in a bikini is standing in the water
Dataset/SSID_Images//428.jpg,two boys playing in the sand on a beach
Dataset/SSID_Images//429.jpg,a little girl building a sandcastle on the beach
Dataset/SSID_Images//430.jpg,a man and woman on the beach
Dataset/SSID_Images//431.jpg,a man and woman on a boat in the ocean
Dataset/SSID_Images//432.jpg,a woman in a bikini on a boat
Dataset/SSID_Images//433.jpg,a woman in a bikini on a boat
Dataset/SSID_Images//434.jpg,a man and woman riding a boat on the ocean
Dataset/SSID_Images//435.jpg,a person on a jet skis through the water
Dataset/SSID_Images//436.jpg,a man riding a jet ski in the ocean
Dataset/SSID_Images//437.jpg,a man in a kayak riding a jet ski
Dataset/SSID_Images//438.jpg,a man in a life jacket is being pulled by a boat
Dataset/SSID_Images//439.jpg,a man in a life jacket is being pulled by a man in a life vest
Dataset/SSID_Images//440.jpg,two people on a boat in the ocean
Dataset/SSID_Images//441.jpg,a beach with people on it
Dataset/SSID_Images//442.jpg,a group of people standing around a bar
Dataset/SSID_Images//443.jpg,three girls in bathing suits are standing on the sidewalk
Dataset/SSID_Images//444.jpg,a young boy sitting at a table with a plate of food
Dataset/SSID_Images//445.jpg,a man in a white shirt and a hat
Dataset/SSID_Images//446.jpg,a man eating food
Dataset/SSID_Images//447.jpg,a group of people sitting at a table
Dataset/SSID_Images//448.jpg,a group of people standing on top of a truck
Dataset/SSID_Images//449.jpg,a pink building with a balcony and bal bal bal bal bal bal bal bal bal bal bal bal
Dataset/SSID_Images//450.jpg,a building with a balcony and stairs
Dataset/SSID_Images//451.jpg,a cruise ship is sailing in the ocean
